Time,X,Y,Z,w,x,y,z,X,Y,Z,w,x,y,z,X,Y,Z,w,x,y,z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.137500,0.044242,0.385649,-0.061380,-0.647448,-0.755910,-0.038598,0.089000,0.314122,0.308483,0.191706,-0.515295,-0.665232,0.239557,-0.484303,0.039025,0.139014,0.299803,-0.999997,-0.002139,0.000609,0.000606,0.038971,0.124380,0.380321,0.038882,0.127138,0.223023,0.332741,0.318457,0.245169,0.039135,0.125340,0.298832,0.195465,0.129320,0.218440,-0.107684,0.133405,0.225563,0.197923,0.130499,0.298159,-0.107709,0.133118,0.298423,0.197763,0.131068,0.380828,-0.107583,0.133619,0.377749,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.141667,0.044247,0.385631,-0.061344,-0.647501,-0.755863,-0.038590,0.089017,0.314112,0.308541,0.191724,-0.515331,-0.665139,0.239508,-0.484418,0.038969,0.138971,0.299824,-0.999998,-0.001967,0.000686,0.000554,0.038956,0.124390,0.380346,0.038879,0.127146,0.223029,0.332689,0.318556,0.245224,0.039136,0.125348,0.298857,0.195453,0.129323,0.218475,-0.107705,0.133400,0.225564,0.197910,0.130508,0.298189,-0.107725,0.133125,0.298438,0.197743,0.131072,0.380842,-0.107585,0.133616,0.377761,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000,0.044196,0.385563,-0.061356,-0.647401,-0.755957,-0.038017,0.089200,0.314024,0.308705,0.191766,-0.515540,-0.664866,0.239616,-0.484516,0.038962,0.138981,0.299837,-0.999998,-0.001982,0.000696,0.000554,0.038947,0.124388,0.380365,0.038867,0.127150,0.223054,0.332596,0.318733,0.245271,0.039122,0.125356,0.298877,0.195443,0.129322,0.218503,-0.107728,0.133408,0.225574,0.197899,0.130509,0.298202,-0.107732,0.133134,0.298461,0.197731,0.131068,0.380850,-0.107598,0.133621,0.377778,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.158333,0.044312,0.385583,-0.061248,-0.647620,-0.755772,-0.038810,0.088831,0.313964,0.308847,0.191812,-0.515684,-0.664687,0.239716,-0.484559,0.038960,0.138923,0.299838,-0.999998,-0.001859,0.000600,0.000485,0.038945,0.124380,0.380371,0.038863,0.127160,0.223069,0.332525,0.318873,0.245272,0.039130,0.125340,0.298876,0.195430,0.129340,0.218461,-0.107712,0.133407,0.225617,0.197906,0.130504,0.298206,-0.107729,0.133117,0.298467,0.197753,0.131070,0.380863,-0.107595,0.133608,0.377814,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.162500,0.044324,0.385573,-0.061214,-0.647644,-0.755758,-0.038783,0.088786,0.313968,0.308881,0.191836,-0.515669,-0.664645,0.239728,-0.484627,0.038970,0.138918,0.299856,-0.999998,-0.001883,0.000591,0.000490,0.038968,0.124361,0.380379,0.038871,0.127150,0.223082,0.332510,0.318889,0.245271,0.039142,0.125327,0.298888,0.195458,0.129319,0.218444,-0.107697,0.133387,0.225643,0.197923,0.130499,0.298215,-0.107711,0.133095,0.298486,0.197781,0.131049,0.380875,-0.107576,0.133590,0.377833,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.166667,0.044330,0.385543,-0.061167,-0.647673,-0.755747,-0.038859,0.088640,0.313938,0.308921,0.191872,-0.515704,-0.664553,0.239797,-0.484682,0.038998,0.138698,0.299917,-0.999999,-0.001246,0.000629,0.000344,0.038972,0.124349,0.380412,0.038885,0.127134,0.223096,0.332526,0.318866,0.245275,0.039146,0.125324,0.298919,0.195478,0.129290,0.218427,-0.107694,0.133379,0.225680,0.197935,0.130472,0.298239,-0.107696,0.133080,0.298518,0.197791,0.131022,0.380892,-0.107569,0.133576,0.377873,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170833,0.044349,0.385489,-0.061134,-0.647622,-0.755802,-0.038982,0.088484,0.313897,0.308971,0.191909,-0.515745,-0.664438,0.239883,-0.484754,0.039015,0.138668,0.299950,-0.999999,-0.001242,0.000687,0.000397,0.038996,0.124332,0.380436,0.038902,0.127125,0.223128,0.332530,0.318849,0.245273,0.039154,0.125309,0.298951,0.195511,0.129262,0.218420,-0.107695,0.133366,0.225696,0.197944,0.130459,0.298261,-0.107671,0.133070,0.298548,0.197790,0.131016,0.380899,-0.107549,0.133569,0.377901,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.179167,0.044148,0.385145,-0.061115,-0.647107,-0.756204,-0.036944,0.089688,0.313806,0.309035,0.191928,-0.515654,-0.664388,0.240072,-0.484826,0.038927,0.138395,0.299928,-1.000000,-0.000460,0.000594,0.000066,0.039019,0.124313,0.380454,0.038914,0.127115,0.223138,0.332537,0.318814,0.245286,0.039164,0.125302,0.298961,0.195539,0.129231,0.218394,-0.107723,0.133382,0.225679,0.197964,0.130442,0.298267,-0.107650,0.133063,0.298577,0.197750,0.131015,0.380883,-0.107537,0.133551,0.377917,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.183333,0.044410,0.385410,-0.061088,-0.647554,-0.755858,-0.039049,0.088473,0.313786,0.309036,0.191929,-0.515515,-0.664455,0.240089,-0.484872,0.038898,0.138384,0.299899,-1.000000,-0.000375,0.000500,-0.000001,0.039001,0.124334,0.380444,0.038902,0.127130,0.223134,0.332516,0.318804,0.245299,0.039151,0.125314,0.298952,0.195530,0.129232,0.218391,-0.107747,0.133389,0.225660,0.197948,0.130454,0.298265,-0.107667,0.133069,0.298568,0.197725,0.131037,0.380859,-0.107546,0.133563,0.377913,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.187500,0.044375,0.385337,-0.061134,-0.647317,-0.756062,-0.038436,0.088735,0.313806,0.309004,0.191943,-0.515290,-0.664588,0.240045,-0.484950,0.038883,0.138374,0.299898,-1.000000,-0.000341,0.000502,0.000004,0.038998,0.124343,0.380440,0.038891,0.127134,0.223135,0.332479,0.318795,0.245324,0.039144,0.125328,0.298953,0.195514,0.129267,0.218398,-0.107750,0.133395,0.225656,0.197935,0.130461,0.298259,-0.107676,0.133069,0.298570,0.197713,0.131045,0.380858,-0.107555,0.133576,0.377913,,,,,,,,,,,,,,,,,,,,,,,,,,,
