Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,Tool,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
chisel_x,chisel_y,chisel_z,chisel_w,chisel_X,chisel_Y,chisel_Z,gripper_x,gripper_y,gripper_z,gripper_w,gripper_X,gripper_Y,gripper_Z,battery_x,battery_y,battery_z,battery_w,battery_X,battery_Y,battery_Z,A2_X,A2_Y,A2_Z,A1_X,A1_Y,A1_Z,A3_X,A3_Y,A3_Z,B2_X,B2_Y,B2_Z,B3_X,B3_Y,B3_Z,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,B1_X,B1_Y,B1_Z
-0.912469,0.012166,-0.009132,-0.408863,-0.105538,0.154355,0.210829,-0.822755,-0.255973,-0.055455,-0.504457,-0.283688,0.255008,0.227669,-0.000550,0.000034,0.000052,-1.000000,0.038877,0.138218,0.300276,0.198100,0.129133,0.298355,0.197811,0.130583,0.380958,0.196032,0.127760,0.218820,0.039431,0.124922,0.299147,0.038986,0.126396,0.223279,-0.107401,0.133682,0.378034,-0.107824,0.131839,0.298777,-0.107634,0.133365,0.225764,0.039156,0.124168,0.380613
-0.912463,0.012057,-0.009064,-0.408881,-0.105490,0.154280,0.210854,-0.822682,-0.255942,-0.055478,-0.504589,-0.283700,0.255024,0.227699,-0.000545,0.000036,0.000049,-1.000000,0.038892,0.138202,0.300289,0.198116,0.129115,0.298370,0.197830,0.130557,0.380955,0.196034,0.127743,0.218835,0.039436,0.124912,0.299156,0.038986,0.126391,0.223294,-0.107382,0.133659,0.378040,-0.107806,0.131831,0.298776,-0.107622,0.133351,0.225775,0.039177,0.124148,0.380616
-0.912417,0.011950,-0.008977,-0.408989,-0.105439,0.154258,0.210880,-0.822612,-0.255876,-0.055528,-0.504732,-0.283716,0.255055,0.227721,-0.000495,0.000033,0.000051,-1.000000,0.038891,0.138195,0.300281,0.198128,0.129128,0.298352,0.197829,0.130580,0.380943,0.196034,0.127757,0.218831,0.039442,0.124928,0.299146,0.038986,0.126407,0.223291,-0.107379,0.133673,0.378029,-0.107797,0.131849,0.298772,-0.107610,0.133359,0.225761,0.039174,0.124164,0.380612
-0.912349,0.011856,-0.008870,-0.409145,-0.105404,0.154251,0.210917,-0.822493,-0.255776,-0.055520,-0.504977,-0.283761,0.255095,0.227761,-0.000552,0.000037,0.000051,-1.000000,0.038878,0.138240,0.300266,0.198103,0.129150,0.298340,0.197816,0.130597,0.380932,0.196012,0.127791,0.218820,0.039425,0.124940,0.299129,0.038972,0.126432,0.223278,-0.107392,0.133690,0.378023,-0.107806,0.131863,0.298757,-0.107622,0.133367,0.225742,0.039161,0.124181,0.380596
-0.912240,0.011819,-0.008714,-0.409393,-0.105370,0.154280,0.210961,-0.822492,-0.255707,-0.055537,-0.505011,-0.283783,0.255116,0.227738,-0.000507,-0.000030,0.000019,-1.000000,0.038847,0.138255,0.300225,0.198094,0.129181,0.298318,0.197801,0.130623,0.380905,0.196015,0.127821,0.218786,0.039418,0.124975,0.299109,0.038962,0.126451,0.223259,-0.107403,0.133723,0.378004,-0.107818,0.131897,0.298744,-0.107628,0.133400,0.225722,0.039144,0.124228,0.380571
-0.912118,0.011797,-0.008556,-0.409667,-0.105353,0.154307,0.211036,-0.822508,-0.255580,-0.055451,-0.505059,-0.283824,0.255110,0.227739,-0.000517,-0.000017,0.000007,-1.000000,0.038834,0.138279,0.300220,0.198071,0.129194,0.298318,0.197779,0.130645,0.380906,0.196006,0.127834,0.218782,0.039399,0.124997,0.299110,0.038954,0.126455,0.223247,-0.107424,0.133755,0.378001,-0.107831,0.131907,0.298742,-0.107651,0.133417,0.225722,0.039125,0.124240,0.380568
-0.911974,0.011810,-0.008400,-0.409992,-0.105330,0.154354,0.211124,-0.822764,-0.255628,-0.055434,-0.504620,-0.283796,0.255050,0.227613,-0.000542,0.000041,0.000040,-1.000000,0.038836,0.138295,0.300238,0.198063,0.129213,0.298321,0.197769,0.130654,0.380914,0.196000,0.127844,0.218780,0.039392,0.125005,0.299117,0.038955,0.126465,0.223235,-0.107436,0.133757,0.378004,-0.107840,0.131932,0.298746,-0.107661,0.133421,0.225721,0.039118,0.124249,0.380570
-0.911816,0.011847,-0.008161,-0.410346,-0.105309,0.154384,0.211228,-0.822882,-0.255550,-0.055378,-0.504472,-0.283821,0.255002,0.227577,-0.000804,0.000056,0.000015,-1.000000,0.038845,0.138416,0.300244,0.198053,0.129208,0.298343,0.197755,0.130651,0.380937,0.195986,0.127828,0.218781,0.039383,0.125000,0.299133,0.038955,0.126452,0.223244,-0.107454,0.133767,0.378011,-0.107862,0.131919,0.298751,-0.107674,0.133426,0.225746,0.039108,0.124231,0.380589
-0.911649,0.011819,-0.008109,-0.410721,-0.105282,0.154437,0.211326,-0.823027,-0.255455,-0.055352,-0.504288,-0.283839,0.254957,0.227524,-0.000529,0.000036,0.000042,-1.000000,0.038828,0.138283,0.300254,0.198046,0.129206,0.298351,0.197764,0.130649,0.380951,0.196006,0.127843,0.218787,0.039384,0.124988,0.299146,0.038974,0.126461,0.223240,-0.107444,0.133754,0.378020,-0.107860,0.131928,0.298749,-0.107663,0.133429,0.225750,0.039112,0.124233,0.380587
-0.911507,0.011797,-0.007932,-0.411038,-0.105243,0.154459,0.211416,-0.823071,-0.255324,-0.055291,-0.504288,-0.283885,0.254931,0.227516,-0.000551,0.000029,0.000051,-1.000000,0.038825,0.138291,0.300262,0.198056,0.129207,0.298361,0.197759,0.130648,0.380965,0.196017,0.127829,0.218784,0.039382,0.124985,0.299148,0.038984,0.126446,0.223247,-0.107455,0.133745,0.378035,-0.107855,0.131918,0.298754,-0.107664,0.133421,0.225768,0.039105,0.124229,0.380602
-0.911333,0.011820,-0.007770,-0.411426,-0.105213,0.154506,0.211507,-0.823172,-0.255205,-0.055285,-0.504185,-0.283908,0.254895,0.227468,-0.000755,0.000040,0.000007,-1.000000,0.038857,0.138393,0.300255,0.198071,0.129210,0.298356,0.197774,0.130648,0.380966,0.196037,0.127821,0.218773,0.039394,0.124982,0.299138,0.038992,0.126447,0.223236,-0.107441,0.133761,0.378031,-0.107856,0.131917,0.298745,-0.107645,0.133425,0.225771,0.039119,0.124237,0.380593
-0.911197,0.011810,-0.007541,-0.411732,-0.105169,0.154507,0.211577,-0.823126,-0.255000,-0.055233,-0.504368,-0.283977,0.254870,0.227493,-0.000520,0.000020,0.000050,-1.000000,0.038837,0.138260,0.300255,0.198079,0.129195,0.298360,0.197777,0.130632,0.380959,0.196038,0.127811,0.218768,0.039392,0.124972,0.299133,0.038994,0.126441,0.223232,-0.107437,0.133737,0.378028,-0.107851,0.131899,0.298739,-0.107645,0.133413,0.225757,0.039121,0.124215,0.380594
-0.911053,0.011776,-0.007315,-0.412057,-0.105109,0.154519,0.211649,-0.823174,-0.254886,-0.055209,-0.504351,-0.283994,0.254821,0.227461,-0.000764,0.000039,-0.000001,-1.000000,0.038868,0.138363,0.300240,0.198089,0.129173,0.298340,0.197782,0.130610,0.380948,0.196046,0.127794,0.218754,0.039402,0.124957,0.299121,0.039007,0.126428,0.223216,-0.107423,0.133710,0.378011,-0.107845,0.131876,0.298731,-0.107643,0.133409,0.225747,0.039137,0.124198,0.380582
-0.910933,0.011702,-0.007095,-0.412326,-0.105046,0.154498,0.211721,-0.823149,-0.254837,-0.055229,-0.504414,-0.284008,0.254798,0.227472,-0.000548,0.000024,0.000048,-1.000000,0.038843,0.138237,0.300242,0.198075,0.129137,0.298335,0.197789,0.130590,0.380942,0.196032,0.127773,0.218764,0.039396,0.124933,0.299122,0.038990,0.126396,0.223222,-0.107434,0.133685,0.378002,-0.107851,0.131847,0.298734,-0.107648,0.133376,0.225744,0.039131,0.124178,0.380581
-0.910827,0.011513,-0.006999,-0.412568,-0.104967,0.154491,0.211782,-0.823157,-0.254766,-0.055237,-0.504435,-0.284019,0.254774,0.227455,-0.000532,0.000043,0.000041,-1.000000,0.038842,0.138227,0.300229,0.198078,0.129146,0.298315,0.197776,0.130582,0.380922,0.196025,0.127780,0.218754,0.039403,0.124927,0.299100,0.038977,0.126393,0.223210,-0.107435,0.133688,0.377989,-0.107849,0.131857,0.298721,-0.107651,0.133368,0.225720,0.039124,0.124179,0.380563
-0.910720,0.011377,-0.006853,-0.412811,-0.104902,0.154479,0.211848,-0.822982,-0.254651,-0.055269,-0.504775,-0.284057,0.254799,0.227531,-0.000487,-0.000015,0.000015,-1.000000,0.038817,0.138214,0.300200,0.198058,0.129136,0.298300,0.197768,0.130578,0.380901,0.196006,0.127773,0.218754,0.039384,0.124934,0.299089,0.038956,0.126390,0.223212,-0.107447,0.133687,0.377973,-0.107854,0.131849,0.298711,-0.107667,0.133368,0.225706,0.039118,0.124193,0.380549
